nws_id,physicalelement,datetime(GMT),sitename,wfo,latitude,longitude,soiltemp(F),depth(in),afos_id,extremum
MRRM5,TB,10/1/2009 13:00,Morris 2E - WC Exp Stn,MPX,45.59027778,-95.87472222,49,8,KMPXRR3MPX,N
WANI3,TB,10/1/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,53,8,KLOTRR3LOT,N
WASM5,TB,10/1/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,54,8,KMPXRR3MPX,N
WHRM5,TB,10/1/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,52,8,KABRRR3ABR,Z
WLFI3,TB,10/1/2009 12:00,West Lafayette,IND,40.47,-87,60,8,KINDRR3IND,N
ABR,TB,10/1/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,58,20,KABRRR3ABR,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,60,20,KDLHRR3DLH,Z
CSAI4,TB,10/1/2009 12:06,Castana Exp. Farm,OAX,42.06666667,-95.81666667,61,20,KOAXRR3OAX,Z
WANI3,TB,10/1/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,61,20,KLOTRR3LOT,Z
WASM5,TB,10/1/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,61,20,KMPXRR3MPX,Z
WHRM5,TB,10/1/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,56,20,KABRRR3ABR,Z
WLFI3,TB,10/1/2009 12:00,West Lafayette,IND,40.47,-87,67,20,KINDRR3IND,Z
ABR,TB,10/1/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,60,40,KABRRR3ABR,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,60,40,KDLHRR3DLH,Z
CSAI4,TB,10/1/2009 12:06,Castana Exp. Farm,OAX,42.06666667,-95.81666667,57,40,KOAXRR3OAX,Z
WANI3,TB,10/1/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,66,40,KLOTRR3LOT,Z
WASM5,TB,10/1/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,63,40,KMPXRR3MPX,Z
WHRM5,TB,10/1/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,59,40,KABRRR3ABR,Z
WLFI3,TB,10/1/2009 12:00,West Lafayette,IND,40.47,-87,65,40,KINDRR3IND,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,56,60,KDLHRR3DLH,Z
WHRM5,TB,10/1/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,57,60,KABRRR3ABR,Z
ABR,TB,10/2/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,46,2,KABRRR3ABR,Z
ALNM4,TB,10/2/2009 14:00,Albion 1NW,DTX,42.26194444,-84.77416667,53,2,KGRRRR2GRR,Z
BATM4,TB,10/2/2009 14:00,Bath 2ENE - MSU Ag Mesonet,GRR,42.82777778,-84.38611111,52,2,KGRRRR2GRR,Z
BELM4,TB,10/2/2009 14:00,Belding 3WNW - MSU Ag Mesonet,GRR,43.11,-85.31,53,2,KGRRRR2GRR,Z
CLRM4,TB,10/2/2009 14:00,Clarksville 2NW - MSU Ag Mesonet,GRR,42.87,-85.26,52,2,KGRRRR2GRR,Z
CSAI4,TB,10/2/2009 12:16,Castana Exp. Farm,OAX,42.06666667,-95.81666667,44,2,KOAXRR3OAX,Z
ENTM4,TB,10/2/2009 14:00,Lakeview - Entrican - MSU Ag Mesonet,GRR,43.3775,-85.18,50,2,KGRRRR2GRR,Z
FEVM4,TB,10/2/2009 12:00,Fennville 3WSW - MSU Ag Mesonet,GRR,42.59,-86.15,53,2,KGRRRR2GRR,Z
FRMM4,TB,10/2/2009 14:00,Fremont 3S - WWTP / MSU Ag Mesonet,GRR,43.42,-85.95,53,2,KGRRRR2GRR,Z
GRJM4,TB,10/2/2009 14:00,Grand Junction 1W,GRR,42.4,-86.1,51,2,KGRRRR2GRR,Z
HFDM4,TB,10/2/2009 14:00,Hartford - MSU Ag Mesonet,GRR,42.22972222,-86.15583333,52,2,KGRRRR2GRR,Z
HRTM4,TB,10/2/2009 14:00,Hart - MI St Police,GRR,43.68861111,-86.37444444,52,2,KGRRRR2GRR,Z
HVLM4,TB,10/2/2009 14:00,Hudsonville - MSU Ag Mesonet,GRR,42.85944444,-85.88944444,54,2,KGRRRR2GRR,Z
LUNM4,TB,10/2/2009 14:00,Ludington - MAWN Ag Mesonet Site,GRR,43.90416667,-86.37972222,54,2,KGRRRR2GRR,Z
MRRM5,TB,10/1/2009 13:00,Morris 2E - WC Exp Stn,MPX,45.59027778,-95.87472222,49,2,KMPXRR3MPX,N
MUNM4,TB,10/2/2009 14:00,Mendon - MAWN - Ag Mesonet Site,IWX,41.98333333,-85.43333333,57,2,KGRRRR2GRR,Z
SPOM4,TB,10/2/2009 13:00,Sparta 4SW - MSU Ag Mesonet,GRR,43.11722222,-85.75416667,51,2,KGRRRR2GRR,Z
WANI3,TB,10/2/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,42,2,KLOTRR3LOT,N
WASM5,TB,10/2/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,51,2,KMPXRR3MPX,N
WEOM4,TB,10/2/2009 14:00,West Olive 5NE - MSU Ag Mesonet,GRR,42.97,-86.07,52,2,KGRRRR2GRR,Z
WHRM5,TB,10/1/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,51,2,KABRRR3ABR,Z
WLFI3,TB,10/2/2009 12:00,West Lafayette,IND,40.47,-87,54,2,KINDRR3IND,N
ABR,TB,10/2/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,49,4,KABRRR3ABR,Z
ALNM4,TB,10/2/2009 14:00,Albion 1NW,DTX,42.26194444,-84.77416667,54,4,KGRRRR2GRR,Z
BATM4,TB,10/2/2009 14:00,Bath 2ENE - MSU Ag Mesonet,GRR,42.82777778,-84.38611111,53,4,KGRRRR2GRR,Z
BELM4,TB,10/2/2009 14:00,Belding 3WNW - MSU Ag Mesonet,GRR,43.11,-85.31,54,4,KGRRRR2GRR,Z
BLFI3,TB,10/2/2009 12:00,Bluffton 4N,IWX,40.78333333,-85.16666667,57,4,KIWXRR3IWX,Z
